village,date,pH,turbidity,dissolved_oxygen,nitrates,coliform,rainfall,temperature,diarrhea_cases,growth_rate,contamination_score
Tarwada,2023-05-19,6.89,1.25,8.23,14.69,41.6,27.9,33.7,7,0.321,12.97
Pimpalgaon,2023-05-19,7.53,1.0,8.89,8.41,17.9,0.8,31.2,3,0.142,8.1
Gopalnagar,2023-05-20,7.06,1.0,10.0,15.25,51.2,16.9,33.9,6,0.28,9.63
Tarwada,2023-05-20,7.16,2.14,9.39,15.52,66.7,41.8,33.3,6,0.434,21.84
Bhimnagar,2023-05-20,7.71,1.55,10.0,6.95,36.8,8.1,34.0,5,0.351,8.15
Jawahar Nagar,2023-05-20,6.33,1.0,10.0,23.38,126.3,4.6,35.2,8,0.573,28.86
Gopalnagar,2023-05-20,7.13,1.46,8.69,8.52,155.5,16.9,32.3,14,0.728,38.06
Devgaon,2023-05-20,6.59,1.0,9.37,12.21,29.6,22.3,30.7,4,0.249,9.77
Vadgaon,2023-05-20,7.82,1.91,10.0,11.46,38.5,8.7,33.8,4,0.208,14.39
Madhavpur,2023-05-20,7.24,1.61,10.0,29.25,186.3,3.8,33.1,15,0.878,49.64
Wagholi,2023-05-20,6.57,1.1,10.0,16.79,194.6,2.7,33.9,14,0.813,44.47
Nandgaon,2023-05-20,7.48,1.21,8.62,10.24,47.0,5.7,32.0,3,0.222,8.38
Bhavanipur,2023-05-20,6.6,9.69,4.8,18.47,127.2,0.7,33.4,9,0.553,61.93
Shivgarh,2023-05-21,6.54,2.66,9.94,6.22,26.2,6.7,33.9,1,0.191,10.65
Radhapur,2023-05-21,6.94,1.0,9.71,8.36,14.5,8.2,33.9,3,0.192,3.27
Dhamangaon,2023-05-21,6.28,10.0,6.49,10.9,131.6,25.3,33.4,10,0.672,65.13
Harinagar,2023-05-21,6.76,1.91,9.78,10.44,42.8,11.1,32.1,3,0.373,10.71
Shivgarh,2023-05-21,8.27,1.48,7.99,17.29,50.0,10.3,32.0,4,0.362,20.35
Tulsipur,2023-05-21,7.66,1.0,9.07,15.71,43.2,25.6,35.7,4,0.215,11.41
Tulsipur,2023-05-21,7.22,1.58,8.07,11.65,34.2,6.0,33.1,3,0.166,6.96
Wagholi,2023-05-22,7.43,4.11,6.7,10.83,83.1,19.0,31.7,8,0.387,28.01
Malegaon,2023-05-22,6.88,2.97,7.53,7.21,38.9,11.3,35.2,4,0.251,19.84
Karanjgaon,2023-05-22,5.89,1.93,8.08,10.38,38.2,20.1,33.4,6,0.291,15.52
Sitapur,2023-05-22,6.02,9.12,5.28,16.89,136.9,44.4,34.4,11,0.591,63.78
Shivgarh,2023-05-22,6.73,1.0,10.0,5.45,8.7,2.7,34.0,3,0.089,0.0
Chandpur,2023-05-22,8.41,3.47,6.4,25.33,84.0,12.8,32.7,12,0.514,34.82
Malegaon,2023-05-22,6.96,1.0,8.81,21.71,51.4,2.6,34.4,5,0.312,13.57
Belpur,2023-05-23,6.6,1.64,8.34,14.64,36.1,4.9,35.3,5,0.239,10.55
Radhapur,2023-05-23,6.36,1.06,9.46,8.5,59.6,4.8,37.4,3,0.313,16.97
Krishnapur,2023-05-23,7.67,1.0,9.88,7.57,11.4,1.4,33.4,3,0.16,9.66
Balkishan,2023-05-23,6.91,1.05,10.0,12.57,57.6,38.9,34.4,7,0.351,13.48
Belpur,2023-05-23,5.73,1.0,9.37,9.18,43.8,19.8,33.9,4,0.211,12.86
Ranjangaon,2023-05-23,6.9,1.0,10.0,14.69,54.5,24.6,32.5,8,0.297,15.74
Tulsipur,2023-05-23,6.84,9.08,5.31,6.92,94.4,10.7,34.1,9,0.472,53.01
Tulsipur,2023-05-23,7.43,2.25,8.29,9.82,37.7,11.2,34.6,5,0.253,17.22
Sonegaon,2023-05-23,5.54,1.0,10.0,21.45,55.6,21.8,31.8,4,0.235,12.67
Radhapur,2023-05-23,7.34,5.16,8.03,21.56,139.2,85.1,33.8,13,0.641,54.84
Sitapur,2023-05-23,7.0,1.0,9.7,12.51,156.8,44.3,35.4,13,0.717,35.72
Belpur,2023-05-23,7.64,3.33,8.8,10.34,85.3,7.5,34.9,6,0.419,21.54
Radhapur,2023-05-24,7.18,9.45,6.79,9.4,118.0,6.4,34.0,14,0.636,64.39
Jawahar Nagar,2023-05-24,6.4,1.0,9.41,6.55,8.7,3.9,33.0,3,0.132,6.93
Sonegaon,2023-05-25,6.9,8.04,6.16,13.72,101.7,8.4,34.8,8,0.471,48.65
Bhimnagar,2023-05-25,6.82,1.18,10.0,8.09,57.3,4.4,32.5,6,0.288,12.3
Pimpalgaon,2023-05-25,7.34,1.0,10.0,14.68,44.3,14.2,33.7,6,0.228,10.7
Gopalnagar,2023-05-25,7.15,1.0,8.62,36.83,199.5,8.9,31.9,18,0.908,50.22
Morwada,2023-05-25,6.85,1.02,10.0,37.45,130.6,25.3,31.3,11,0.63,38.74
Nandgaon,2023-05-25,6.91,1.0,10.0,16.25,56.0,2.7,31.8,5,0.335,15.17
Deulgaon,2023-05-26,7.44,2.39,8.9,24.35,107.2,10.2,32.1,8,0.48,30.48
Tulsipur,2023-05-26,6.4,1.0,9.51,7.13,19.9,11.1,34.7,3,0.132,8.57
Gopalnagar,2023-05-26,6.82,4.45,7.85,14.44,100.2,27.7,34.6,8,0.543,36.27
Jawahar Nagar,2023-05-26,8.43,5.6,8.15,13.6,71.8,1.0,33.3,9,0.503,37.06
Radhapur,2023-05-26,6.48,3.73,8.48,10.53,66.5,35.0,34.5,5,0.349,27.59
Karanjgaon,2023-05-26,5.82,1.0,9.13,44.68,143.5,5.1,33.9,12,0.66,44.84
Balkishan,2023-05-26,6.01,1.0,8.24,8.23,14.6,5.2,33.2,3,0.107,3.35
Tarwada,2023-05-27,7.05,1.0,9.86,38.72,107.3,37.5,32.9,10,0.519,32.76
Madhavpur,2023-05-27,6.69,3.5,8.91,10.61,174.1,28.7,33.2,11,0.799,46.69
Karanjgaon,2023-05-27,6.57,1.6,8.29,9.88,24.9,5.6,29.6,2,0.162,8.43
Balkishan,2023-05-27,6.78,1.0,9.68,10.48,20.7,7.3,33.9,3,0.179,6.97
Pimpalgaon,2023-05-27,6.96,6.3,6.75,9.6,89.5,0.4,33.6,6,0.396,37.57
Shivgarh,2023-05-27,6.21,1.0,10.0,16.41,43.1,21.1,32.6,4,0.223,16.18
Salegaon,2023-05-27,7.06,1.99,7.04,19.39,88.0,11.5,33.2,7,0.422,25.57
Wagholi,2023-05-27,7.4,5.52,7.25,8.13,59.4,5.1,35.2,5,0.34,30.29
Krishnapur,2023-05-28,6.98,1.16,9.61,11.92,46.1,5.2,33.0,5,0.224,14.02
Umargaon,2023-05-28,6.56,1.0,8.5,12.05,31.6,0.0,32.3,5,0.316,8.87
Tarwada,2023-05-28,6.22,1.0,8.66,8.83,30.3,12.2,33.9,3,0.254,9.15
Tarwada,2023-05-28,7.48,3.5,8.29,7.74,42.5,14.5,33.5,7,0.252,18.62
Gopalnagar,2023-05-28,7.36,1.0,9.44,10.36,42.6,3.7,34.8,4,0.3,9.77
Dhamangaon,2023-05-28,7.94,3.32,8.54,6.88,184.6,11.7,31.5,15,0.783,46.26
Shivgarh,2023-05-28,6.32,1.39,9.37,29.17,77.6,1.1,34.7,6,0.363,24.47
Sonegaon,2023-05-28,7.04,1.0,10.0,9.7,85.2,4.2,33.1,7,0.365,20.89
Belpur,2023-05-29,6.83,1.0,9.73,6.68,11.6,3.0,35.2,1,0.18,5.84
Vadgaon,2023-05-29,7.66,7.86,5.18,9.71,96.8,6.3,33.8,7,0.425,44.82
Sonegaon,2023-05-29,6.86,1.0,9.73,6.11,15.5,1.5,33.0,5,0.219,3.38
Shivgarh,2023-05-30,7.02,1.0,8.85,9.94,38.3,7.7,32.7,4,0.246,12.89
Umargaon,2023-05-30,7.04,10.0,4.13,8.55,109.5,10.7,33.7,9,0.614,60.75
Madhavpur,2023-05-30,7.22,1.0,9.02,5.79,12.7,1.0,31.8,1,0.187,9.12
Ambegaon,2023-05-30,6.42,5.33,7.4,10.36,74.2,12.1,30.1,6,0.375,34.21
Sundarpur,2023-05-31,6.3,1.0,8.83,9.12,20.4,15.2,35.6,5,0.174,5.95
Deulgaon,2023-05-31,7.21,3.89,8.97,11.4,65.2,42.2,30.8,5,0.292,27.3
Sundarpur,2023-05-31,6.79,2.76,7.86,8.37,36.9,4.2,34.7,4,0.22,18.67
Madhavpur,2023-05-31,8.19,2.12,9.19,13.3,46.4,25.1,34.5,4,0.264,16.07
Radhapur,2023-05-31,7.22,1.0,10.0,10.99,45.7,1.2,32.9,4,0.368,8.79
Khandala,2023-05-31,8.14,3.96,8.27,16.32,84.9,56.0,31.4,8,0.459,31.13
Krishnapur,2023-05-31,5.62,10.0,3.61,12.83,178.3,42.8,34.3,13,0.869,78.99
Sonegaon,2023-06-01,7.62,1.67,8.59,21.51,95.4,66.5,34.9,10,0.526,25.27
Rampur,2023-06-01,6.43,2.68,8.17,9.55,45.6,30.2,32.1,6,0.275,17.0
Salegaon,2023-06-01,6.68,1.0,9.86,13.7,48.4,43.6,33.4,6,0.323,13.0
Radhapur,2023-06-01,6.98,5.4,8.1,26.84,130.2,57.7,34.6,13,0.59,49.93
Chandpur,2023-06-01,5.75,1.7,9.48,9.34,31.4,26.2,31.9,3,0.19,12.12
Tulsipur,2023-06-01,7.31,1.0,9.43,27.87,77.0,40.2,35.0,8,0.394,26.34
Madhavpur,2023-06-01,7.09,5.46,6.13,42.87,200.0,170.1,33.9,19,0.945,78.91
Balkishan,2023-06-01,6.49,7.84,5.47,16.15,127.0,19.2,32.2,11,0.615,55.58
Ambegaon,2023-06-01,6.91,7.84,5.94,25.55,126.5,1.9,33.5,12,0.706,61.1
Deulgaon,2023-06-02,6.64,1.39,9.2,9.75,34.0,23.5,35.9,4,0.298,10.6
Devgaon,2023-06-02,6.35,2.67,10.0,8.67,68.0,8.1,30.9,8,0.411,19.75
Sitapur,2023-06-02,7.46,5.81,7.44,7.32,62.1,10.0,35.2,7,0.403,38.24
Harinagar,2023-06-02,5.56,1.97,9.38,30.0,145.3,135.0,33.8,14,0.667,46.96
Madhavpur,2023-06-03,7.38,6.28,6.75,7.68,76.6,16.0,36.8,6,0.336,34.97
Gopalnagar,2023-06-03,6.24,2.66,9.26,13.28,70.0,28.4,33.4,5,0.32,23.49
Rampur,2023-06-03,8.13,3.52,10.0,20.97,103.8,78.9,34.7,11,0.497,40.86
Dhamangaon,2023-06-03,7.93,3.48,7.41,18.42,91.8,65.1,34.0,11,0.489,35.12
Balkishan,2023-06-03,6.92,1.0,9.45,16.66,65.8,72.0,35.2,5,0.283,13.97
Bhimnagar,2023-06-04,7.07,1.98,7.56,21.26,104.7,106.9,35.1,11,0.522,38.9
Karanjgaon,2023-06-04,6.98,1.0,9.22,14.65,44.1,19.8,33.4,6,0.262,15.04
Bhimnagar,2023-06-04,7.54,10.0,5.03,17.03,152.4,68.7,35.8,11,0.693,68.19
Umargaon,2023-06-04,7.98,5.98,8.66,20.49,133.2,80.5,32.2,13,0.629,54.3
Devgaon,2023-06-04,6.5,2.04,8.46,10.1,51.1,23.6,34.4,4,0.402,16.18
Ranjangaon,2023-06-04,6.44,1.0,9.71,15.71,93.2,66.8,35.9,13,0.504,25.86
Wagholi,2023-06-04,7.21,1.5,8.96,24.51,118.6,84.4,36.1,11,0.552,33.73
Devgaon,2023-06-04,7.0,1.04,7.89,11.55,33.7,20.7,33.6,4,0.207,11.11
Tarwada,2023-06-04,6.62,1.0,10.0,20.71,94.1,47.5,35.4,9,0.448,23.56
Madhavpur,2023-06-05,6.66,1.0,9.71,6.79,13.4,6.9,32.3,1,0.121,1.73
Vadgaon,2023-06-05,6.24,1.41,9.16,16.8,71.1,53.3,37.5,6,0.423,17.96
Khandala,2023-06-05,6.52,5.06,6.34,25.47,177.4,122.8,33.9,16,0.796,60.39
Wagholi,2023-06-05,7.34,4.94,7.61,47.15,200.0,200.0,33.2,18,0.909,74.82
Bhavanipur,2023-06-05,7.1,4.93,9.07,16.47,96.3,47.7,34.7,10,0.523,38.86
Salegaon,2023-06-06,6.59,1.0,8.11,19.38,167.1,32.9,33.8,14,0.81,41.19
Tulsipur,2023-06-06,7.18,3.23,8.2,20.81,121.3,61.5,35.9,9,0.538,38.59
Nandgaon,2023-06-06,7.46,2.09,9.74,17.51,69.7,61.8,34.1,8,0.369,23.28
Wagholi,2023-06-06,7.49,1.0,9.44,30.28,120.8,133.7,33.5,10,0.561,30.53
Khandala,2023-06-06,7.17,3.89,9.93,15.35,62.7,5.9,35.0,7,0.384,25.54
Radhapur,2023-06-07,7.83,2.3,8.78,17.4,71.0,43.3,34.5,6,0.481,21.33
Morwada,2023-06-07,6.25,2.63,8.3,15.41,66.1,50.7,34.3,8,0.377,25.12
Karanjgaon,2023-06-07,7.14,1.59,10.0,43.59,156.4,126.3,34.2,14,0.794,52.24
Balkishan,2023-06-07,6.63,1.0,8.05,9.3,29.2,26.9,32.4,5,0.194,8.63
Nandgaon,2023-06-08,6.71,2.61,7.73,35.67,132.0,76.6,34.9,12,0.616,43.43
Laxmipur,2023-06-08,6.15,1.0,9.88,9.95,199.0,28.5,33.8,14,0.873,44.02
Balkishan,2023-06-08,6.56,3.49,8.43,18.09,89.9,65.0,34.8,10,0.535,31.19
Ranjangaon,2023-06-08,7.55,1.0,9.03,13.41,89.0,50.4,36.0,10,0.455,19.25
Shivgarh,2023-06-08,5.76,2.73,8.28,7.11,34.3,12.2,34.8,3,0.322,20.82
Sitapur,2023-06-08,6.18,1.69,8.13,8.03,194.5,7.2,33.7,16,0.931,45.35
Radhapur,2023-06-08,7.02,2.22,8.51,43.55,200.0,200.0,34.1,18,0.926,62.1
Morwada,2023-06-08,7.08,4.85,7.48,20.1,188.4,90.6,33.7,14,0.824,54.5
Umargaon,2023-06-08,6.28,4.85,8.49,18.4,97.9,46.2,34.2,8,0.481,36.0
Sundarpur,2023-06-08,5.57,1.29,8.78,37.33,161.3,139.6,33.6,15,0.829,47.23
Ranjangaon,2023-06-08,6.81,1.83,9.03,39.68,174.6,169.8,33.6,17,0.813,55.57
Morwada,2023-06-09,6.88,6.07,7.05,15.86,127.3,63.2,36.2,10,0.546,46.41
Gopalnagar,2023-06-09,7.86,3.4,8.27,20.44,109.9,79.6,35.6,9,0.535,43.78
Umargaon,2023-06-09,5.66,3.53,8.08,27.43,171.6,141.8,33.1,18,0.797,61.98
Gopalnagar,2023-06-09,8.18,1.0,8.79,22.77,88.3,95.1,35.7,11,0.536,26.03
Harinagar,2023-06-09,6.88,1.0,9.62,25.62,71.7,28.4,34.7,6,0.369,18.24
Salegaon,2023-06-09,8.34,8.19,5.92,33.4,165.4,23.1,36.0,12,0.685,68.88
Ambegaon,2023-06-10,6.99,1.0,8.99,22.73,157.2,103.6,33.0,14,0.831,39.69
Tulsipur,2023-06-10,6.92,1.6,8.58,23.39,178.8,82.2,33.1,15,0.801,43.4
Chikhali,2023-06-10,7.08,6.72,7.27,9.15,83.8,11.2,33.9,7,0.363,41.06
Jawahar Nagar,2023-06-10,6.89,1.0,8.81,9.05,23.8,10.7,35.4,6,0.271,8.5
Morwada,2023-06-10,7.13,1.08,8.31,16.68,51.4,23.8,33.8,4,0.282,16.09
Radhapur,2023-06-10,6.67,1.0,8.98,14.71,64.8,28.1,33.7,7,0.373,14.17
Vadgaon,2023-06-10,6.87,2.3,8.64,35.95,183.3,200.0,33.6,20,0.898,60.77
Laxmipur,2023-06-10,6.83,1.0,9.4,11.1,27.5,10.7,35.3,2,0.231,7.98
Belpur,2023-06-11,6.11,1.0,9.85,5.83,15.8,4.8,35.3,3,0.103,3.17
Balkishan,2023-06-11,6.86,2.97,7.93,9.98,51.3,23.9,35.7,8,0.392,21.76
Madhavpur,2023-06-11,7.2,3.95,7.32,6.66,48.4,5.8,34.6,7,0.359,24.33
Belpur,2023-06-11,7.06,1.79,10.0,32.22,107.1,61.9,34.5,11,0.508,36.71
Malegaon,2023-06-11,6.96,5.74,7.24,14.99,109.2,62.6,32.9,11,0.554,45.39
Ambegaon,2023-06-11,7.4,1.27,8.59,16.1,71.2,68.8,34.3,9,0.403,21.8
Jawahar Nagar,2023-06-11,7.24,1.02,8.02,19.97,69.0,36.3,33.6,8,0.415,15.86
Bhimnagar,2023-06-11,7.1,1.0,9.04,20.51,90.5,69.4,36.4,7,0.495,23.31
Belpur,2023-06-12,5.64,3.59,8.6,17.44,83.5,20.2,35.9,6,0.364,33.95
Sonegaon,2023-06-12,8.16,1.0,8.57,48.11,124.8,18.7,34.7,10,0.598,38.82
Sundarpur,2023-06-12,6.84,8.65,5.94,13.99,124.6,5.7,34.5,10,0.589,54.25
Tarwada,2023-06-13,6.77,10.0,6.0,48.14,200.0,50.0,32.5,14,0.815,92.37
Krishnapur,2023-06-13,6.89,1.0,9.69,17.88,88.9,70.7,34.7,9,0.436,21.28
Malegaon,2023-06-14,6.8,4.12,8.8,24.28,121.1,96.2,31.2,11,0.573,44.07
Deulgaon,2023-06-14,6.71,3.55,8.54,45.11,146.8,35.7,33.7,11,0.721,51.06
Gopalnagar,2023-06-14,6.0,1.0,8.69,27.54,110.6,128.8,32.0,11,0.641,33.65
Gopalnagar,2023-06-14,8.05,1.11,9.67,16.52,78.6,54.3,35.4,9,0.424,22.53
Khandala,2023-06-14,6.7,10.0,3.79,38.78,200.0,200.0,33.6,20,0.953,97.93
Laxmipur,2023-06-14,7.38,1.85,9.16,12.67,46.2,10.4,33.4,3,0.227,11.46
Deulgaon,2023-06-15,6.39,4.16,8.16,11.32,99.5,41.2,33.2,10,0.566,33.86
Khandala,2023-06-15,7.12,2.65,9.14,37.46,173.0,167.3,36.4,16,0.795,56.53
Laxmipur,2023-06-15,6.47,2.57,9.96,16.26,63.7,41.4,35.7,9,0.453,23.14
Khandala,2023-06-15,6.12,1.84,8.55,14.57,60.5,59.1,34.9,8,0.354,19.49
Madhavpur,2023-06-15,7.03,2.84,9.05,13.69,67.4,45.9,35.1,8,0.373,22.94
Salegaon,2023-06-15,7.99,1.53,8.94,13.81,56.2,24.4,35.6,5,0.257,17.32
Wagholi,2023-06-16,6.22,1.0,9.08,15.82,61.5,38.3,34.0,4,0.258,16.92
Karanjgaon,2023-06-16,5.81,2.86,8.74,30.74,152.1,163.6,33.4,16,0.727,54.24
Rampur,2023-06-16,6.58,1.0,9.5,13.05,42.4,6.6,33.6,6,0.355,10.99
Sitapur,2023-06-16,5.52,1.0,9.07,31.08,145.1,123.3,34.2,13,0.703,43.01
Balkishan,2023-06-16,6.23,1.0,9.1,18.15,59.2,55.0,34.4,7,0.316,11.21
Devgaon,2023-06-16,6.78,10.0,5.94,9.54,149.1,3.4,34.5,10,0.675,72.02
Krishnapur,2023-06-17,6.89,1.04,9.35,41.83,112.4,0.6,32.2,11,0.53,36.46
Morwada,2023-06-17,7.27,10.0,6.06,39.34,200.0,97.9,35.7,17,0.904,94.04
Morwada,2023-06-17,6.02,3.16,9.49,23.35,144.4,115.3,34.3,13,0.706,46.31
Morwada,2023-06-17,7.05,6.08,7.13,14.49,111.7,57.0,34.1,9,0.539,46.37
Ranjangaon,2023-06-17,5.76,5.28,8.61,37.65,200.0,182.9,35.0,19,0.967,75.75
Ranjangaon,2023-06-17,7.64,1.0,9.37,13.26,47.0,46.5,37.0,5,0.265,10.55
Dhamangaon,2023-06-17,7.32,1.0,9.8,42.24,134.1,54.4,33.2,14,0.651,42.72
Bhavanipur,2023-06-18,5.63,1.0,9.51,16.88,49.8,43.7,35.6,7,0.414,16.37
Sundarpur,2023-06-18,7.75,1.0,8.42,20.98,96.4,74.0,34.5,8,0.454,22.64
Laxmipur,2023-06-18,6.58,2.4,8.64,15.56,97.4,45.2,33.5,11,0.48,31.36
Ranjangaon,2023-06-18,7.17,2.24,8.15,11.65,116.7,36.8,32.4,10,0.608,29.79
Khandala,2023-06-18,6.03,1.0,9.53,7.33,56.3,8.2,33.8,4,0.301,9.36
Malegaon,2023-06-18,6.8,2.15,8.42,10.15,33.2,10.0,33.6,4,0.189,10.16
Gopalnagar,2023-06-18,6.76,4.61,7.57,14.11,97.9,50.5,32.7,8,0.466,37.01
Jawahar Nagar,2023-06-19,6.99,1.0,8.43,37.15,132.8,116.0,33.9,13,0.731,41.63
Morwada,2023-06-19,6.77,1.0,10.0,18.28,47.9,23.1,32.6,6,0.284,17.3
Khandala,2023-06-19,6.11,1.0,9.58,8.33,20.3,20.1,36.5,2,0.25,4.2
Ranjangaon,2023-06-19,7.22,1.0,9.43,19.24,66.6,57.5,35.4,7,0.365,20.96
Ambegaon,2023-06-19,6.86,1.73,7.29,13.54,47.6,24.1,34.1,3,0.284,12.2
Radhapur,2023-06-19,8.44,1.0,8.83,11.07,39.5,24.4,32.2,6,0.309,8.71
Ranjangaon,2023-06-19,6.88,1.0,9.96,10.69,78.7,26.8,35.0,6,0.42,12.74
Madhavpur,2023-06-20,7.03,1.47,8.77,14.26,41.3,12.8,33.9,3,0.243,14.29
Tulsipur,2023-06-20,7.23,9.95,5.42,10.62,123.8,35.8,34.4,8,0.523,65.32
Chikhali,2023-06-20,6.84,1.0,8.81,16.79,62.8,47.4,34.8,5,0.3,12.09
Chikhali,2023-06-20,5.68,3.59,8.07,17.07,116.2,7.7,33.0,7,0.457,35.7
Laxmipur,2023-06-20,6.73,1.1,8.3,14.11,62.5,33.9,32.6,8,0.347,18.65
Deulgaon,2023-06-20,7.11,1.0,8.86,15.6,62.8,49.1,35.8,10,0.418,18.63
Malegaon,2023-06-20,7.17,4.52,8.85,30.97,136.2,40.5,34.0,11,0.736,50.51
Sundarpur,2023-06-20,7.93,1.49,9.2,25.84,79.5,38.0,31.4,7,0.373,23.16
Radhapur,2023-06-21,7.37,1.0,8.45,10.54,26.9,22.7,34.5,4,0.16,3.7
Umargaon,2023-06-21,7.46,4.34,7.07,14.49,83.0,24.5,33.0,9,0.445,32.64
Harinagar,2023-06-21,8.34,5.48,7.11,28.95,168.8,90.3,36.0,13,0.721,63.37
Salegaon,2023-06-21,6.69,1.42,8.31,19.88,93.1,21.9,34.8,10,0.495,21.88
Gopalnagar,2023-06-22,6.99,5.35,7.19,12.7,116.1,47.9,35.7,9,0.575,39.18
Ambegaon,2023-06-22,6.64,7.75,5.57,38.1,176.7,19.6,30.8,14,0.806,74.33
Dhamangaon,2023-06-22,7.0,1.29,9.04,25.99,77.1,20.5,34.8,6,0.375,19.11
Chandpur,2023-06-22,6.75,3.98,7.5,11.89,69.8,28.0,34.7,8,0.425,29.23
Krishnapur,2023-06-22,8.29,6.03,7.0,16.63,105.2,55.2,33.2,9,0.459,45.59
Chikhali,2023-06-23,6.32,7.22,6.64,9.29,95.7,25.1,34.2,7,0.537,44.08
Ambegaon,2023-06-23,7.82,1.0,9.23,23.86,66.6,41.7,37.4,6,0.324,16.14
Vadgaon,2023-06-23,6.9,1.0,9.19,18.21,87.0,51.4,34.7,8,0.445,19.77
Pimpalgaon,2023-06-23,7.85,1.39,10.0,32.77,146.8,138.8,35.8,15,0.734,45.39
Laxmipur,2023-06-23,7.18,4.36,8.0,22.74,116.4,88.8,32.8,11,0.626,41.68
Rampur,2023-06-23,7.46,1.0,9.92,21.4,57.1,29.2,35.2,4,0.257,16.02
Krishnapur,2023-06-23,6.85,1.0,10.0,18.47,93.1,46.6,33.7,9,0.431,21.91
Shivgarh,2023-06-23,7.24,1.51,9.58,14.22,112.5,42.9,33.9,8,0.516,28.37
Umargaon,2023-06-23,7.02,1.43,9.61,21.34,88.1,87.0,31.4,8,0.461,24.53
Chikhali,2023-06-23,6.75,4.58,6.49,45.51,168.5,3.3,32.8,13,0.754,62.69
Gopalnagar,2023-06-24,7.04,1.47,8.72,12.09,51.1,21.9,33.0,3,0.298,15.12
Ambegaon,2023-06-24,6.93,1.0,8.64,15.44,52.3,12.8,34.7,3,0.236,14.85
Laxmipur,2023-06-24,7.83,1.41,9.96,13.19,56.1,43.9,35.6,6,0.37,16.2
Tulsipur,2023-06-24,7.5,1.0,10.0,17.22,65.1,76.9,33.6,6,0.4,16.49
Chandpur,2023-06-24,6.29,3.25,8.46,39.3,172.4,4.7,37.7,11,0.702,55.33
Dhamangaon,2023-06-24,7.68,1.0,8.88,14.35,51.3,34.7,35.3,4,0.382,13.83
Bhimnagar,2023-06-24,6.26,1.88,10.0,36.62,173.9,200.0,34.1,16,0.844,53.38
Rampur,2023-06-24,7.59,1.16,8.56,28.18,116.1,111.9,31.7,12,0.585,34.13
Radhapur,2023-06-25,7.71,6.78,6.4,24.2,164.0,120.8,32.3,13,0.773,67.4
Khandala,2023-06-25,7.21,4.7,5.91,19.19,102.7,28.8,33.5,10,0.503,40.64
Tulsipur,2023-06-26,6.57,3.7,8.67,20.24,106.7,92.8,34.1,10,0.589,37.64
Rampur,2023-06-26,7.45,1.98,8.95,37.33,169.7,183.3,33.4,16,0.808,51.28
Tarwada,2023-06-26,7.4,2.38,8.28,13.85,63.3,56.8,33.8,7,0.299,20.7
Sitapur,2023-06-26,6.54,1.0,9.22,9.97,36.0,26.6,31.8,5,0.209,16.18
Salegaon,2023-06-26,6.75,3.15,8.91,10.22,91.8,22.0,33.7,10,0.499,29.22
Jawahar Nagar,2023-06-26,6.5,1.0,8.63,18.95,52.8,29.5,32.4,7,0.385,18.95
Sundarpur,2023-06-26,6.47,1.0,9.96,31.9,128.2,105.9,34.6,13,0.705,32.21
Ambegaon,2023-06-27,7.44,5.13,7.5,21.38,145.3,38.8,33.6,13,0.691,50.45
Wagholi,2023-06-28,7.34,1.24,9.95,22.35,70.6,6.3,33.2,9,0.401,17.83
Laxmipur,2023-06-28,7.04,4.75,6.5,11.54,71.4,28.1,36.8,8,0.37,25.97
Gopalnagar,2023-06-28,6.89,1.48,8.59,6.06,15.0,5.1,32.2,2,0.088,3.26
Balkishan,2023-06-28,6.85,1.41,9.73,26.67,111.5,99.7,33.1,11,0.586,34.68
Sonegaon,2023-06-29,6.9,3.39,8.79,41.36,197.5,196.6,34.0,18,0.876,62.53
Krishnapur,2023-06-29,6.12,1.12,9.88,17.51,100.7,51.1,34.2,10,0.555,28.44
Khandala,2023-06-29,7.41,1.04,10.0,10.26,26.1,0.4,35.0,3,0.152,6.19
Balkishan,2023-06-29,8.44,2.47,8.76,14.51,79.1,36.7,35.3,7,0.443,27.73
Sonegaon,2023-06-29,6.99,2.04,8.13,12.76,71.9,10.8,34.2,6,0.33,14.77
Sundarpur,2023-06-29,6.82,1.74,8.84,22.9,105.4,87.6,35.5,10,0.521,27.99
Morwada,2023-06-29,7.24,1.0,9.91,18.11,55.1,41.6,31.3,9,0.356,19.19
Vadgaon,2023-06-29,7.4,1.12,8.49,13.09,81.6,15.3,35.1,10,0.501,17.43
Ranjangaon,2023-06-30,6.99,2.7,6.59,7.56,58.6,14.3,32.2,7,0.31,15.41
Karanjgaon,2023-06-30,5.97,10.0,3.95,23.17,152.1,30.1,33.1,10,0.661,75.03
Rampur,2023-06-30,6.09,1.75,9.41,16.99,74.3,64.8,36.6,6,0.341,15.23
Gopalnagar,2023-06-30,6.61,2.65,9.66,10.01,45.5,19.5,32.9,5,0.291,16.69
Rampur,2023-06-30,6.83,4.94,6.51,16.46,99.5,45.1,34.5,10,0.49,37.85
Bhavanipur,2023-06-30,6.55,1.0,9.89,16.31,37.1,14.8,35.3,5,0.226,12.02
Jawahar Nagar,2023-06-30,6.34,1.0,8.92,25.1,91.8,94.7,34.4,11,0.624,25.56
Gopalnagar,2023-06-30,7.8,1.0,9.87,25.41,127.1,132.2,34.3,13,0.695,36.99
Khandala,2023-07-01,5.7,1.0,9.18,11.27,95.5,35.4,36.4,7,0.425,22.89
Morwada,2023-07-01,8.13,6.11,7.69,10.65,97.1,31.3,34.2,8,0.473,40.61
